url_hash_id,client_hash_id,word_count,days_since_update,clicks_last_30d,peak_clicks_30d,log_peak_clicks,target_click_loss,predicted_click_loss,action,reason_code
url_41a152ac57efd83e,client_62f4a7e64f5e0096,2648,47,0.0,25,3.258096538021482,25.0,24.99746811484958,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d2d315591cc08543,client_1a730cb2640a1abf,2520,70,0.0,25,3.258096538021482,25.0,24.98791767071235,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_1774e6ebf8976680,client_73cda7b4e4f265ea,1078,54,0.0,25,3.258096538021482,25.0,24.966202638291197,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_6aca10d0c89bf495,client_8ddc46da5414ffd8,2980,91,0.0,25,3.258096538021482,25.0,24.786193204635342,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_5e1083a0e3a8487f,client_8ddc46da5414ffd8,2949,91,0.0,25,3.258096538021482,25.0,24.786193204635342,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_f0bc617d05b0d434,client_8ddc46da5414ffd8,3375,91,0.0,25,3.258096538021482,25.0,24.786193204635342,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_bad2f77d17897f9e,client_e547b89c05043229,2690,68,0.0,25,3.258096538021482,25.0,24.7390510289952,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_240f6ccee5dea681,client_8ddc46da5414ffd8,2766,91,0.0,25,3.258096538021482,25.0,24.71956337174604,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_5686c823ca18e19f,client_86ebc2f12c01f586,2686,64,0.0,25,3.258096538021482,25.0,24.6595282715556,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_e1551971a0682be3,client_e5c2aa26a8598242,2748,69,0.0,16,2.833213344056216,16.0,24.18625309875179,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_97ba65d822421faa,client_1a730cb2640a1abf,2613,70,0.0,24,3.2188758248682006,24.0,23.976603663608667,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_a5001ffdb9b29ed8,client_62f4a7e64f5e0096,0,47,0.0,24,3.2188758248682006,24.0,23.963408655663844,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_0c93cc42193ff9f4,client_a80fca3f171ed1de,2738,79,0.0,22,3.1354942159291497,22.0,23.926395701082185,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_0751febb5e4f9aa7,client_23a62021009f63c4,3409,69,0.0,24,3.2188758248682006,24.0,23.76646823617387,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d910e598228d1859,client_23a62021009f63c4,3434,65,0.0,24,3.2188758248682006,24.0,23.763171382119662,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_7adcf692e7a3f9c9,client_e547b89c05043229,2806,68,0.0,24,3.2188758248682006,24.0,23.741367475540113,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d8fbfda08fc124c1,client_23a62021009f63c4,3233,56,0.0,24,3.2188758248682006,24.0,23.62999620132492,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_a02481194ca20b15,client_86ebc2f12c01f586,3080,79,0.0,49,3.912023005428146,49.0,23.518686250569452,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_8005b3a03bcef01e,client_20259bd6705d81d4,4205,91,0.0,45,3.828641396489095,45.0,23.243107392899486,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_8547562b66438b65,client_08a6a72ff48e62c0,2761,69,0.0,21,3.091042453358316,21.0,23.09176769605546,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_39268a30cccf6715,client_23a62021009f63c4,3972,58,0.0,21,3.091042453358316,21.0,22.995092891419034,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_4db9681b0e19c169,client_62f4a7e64f5e0096,2307,44,0.0,23,3.1780538303479458,23.0,22.980406253745485,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_730bd8cae0133140,client_e547b89c05043229,1116,54,0.0,23,3.1780538303479458,23.0,22.947354376203442,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_376f25d20bd60412,client_86ebc2f12c01f586,1760,50,0.0,23,3.1780538303479458,23.0,22.947354376203442,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_b25cb7196d3b5986,client_0fa64a184f18a4a0,2652,91,0.0,23,3.1780538303479458,23.0,22.90639407685414,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_e2c6c0368d66394a,client_86ebc2f12c01f586,2847,79,0.0,23,3.1780538303479458,23.0,22.874656996439423,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
